link,sex
https://www.tfrrs.org/athletes/1689625/Northwest_Nazarene/Tim__Greene.html,m
https://www.tfrrs.org/athletes/1654404/Winston_Salem_St/Persha_Lane.html,w
https://www.tfrrs.org/athletes/2650889/Radford/Elaine__Derricott.html,w
https://www.tfrrs.org/athletes/1704165/Liberty/Jen_Healey.html,w
https://www.tfrrs.org/athletes/1704164/Liberty/Krystle_Matthews.html,w
https://www.tfrrs.org/athletes/1691907/Va_Military_Institute/Zipporah_McCann.html,w
https://www.tfrrs.org/athletes/2757145/Liberty/Elliece_Boyles.html,w
https://www.tfrrs.org/athletes/2224346/Liberty/Geren_Woodbridge.html,m
https://www.tfrrs.org/athletes/1691953/Va_Military_Institute/Michael_Munson.html,m
https://www.tfrrs.org/athletes/2224343/Liberty/Drew_Edwards.html,m
https://www.tfrrs.org/athletes/2748337/Va_Military_Institute/Taylor_Schmalhofer.html,m
https://www.tfrrs.org/athletes/2748340/Va_Military_Institute/Antonio_Wood.html,m
https://www.tfrrs.org/athletes/1730689/Radford/Kevin_Richards.html,m
https://www.tfrrs.org/athletes/3279941/Amy_Boyer.html,w
https://www.tfrrs.org/athletes/2445525/Lewis/Sarah_Sielisch.html,w
https://www.tfrrs.org/athletes/3281339/Liz_Baller.html,w
https://www.tfrrs.org/athletes/3227009/Lewis/Megan_Marchildon.html,w
https://www.tfrrs.org/athletes/3227011/Lewis/Alexis__Atkins.html,w
https://www.tfrrs.org/athletes/1746251/Eastern_Michigan/Kevin_Lanier.html,m
https://www.tfrrs.org/athletes/3282805/Travis_Derscheid.html,m
https://www.tfrrs.org/athletes/3265412/Grand_Valley_St/Bret_Myers.html,m
https://www.tfrrs.org/athletes/3265417/Grand_Valley_St/Steve_Reives.html,m
https://www.tfrrs.org/athletes/2741500/Lewis/Kyle__Fitzgerald.html,m
https://www.tfrrs.org/athletes/3283741/David_Papenhagen.html,m
https://www.tfrrs.org/athletes/2750491/Eastern_Michigan/Jeremy_McCormick.html,m
https://www.tfrrs.org/athletes/3272348/Eastern_Michigan/Tim_Fuller.html,m
https://www.tfrrs.org/athletes/3282400/Chris__Schurr.html,m
https://www.tfrrs.org/athletes/1709410/Bates/Brett_Epler.html,m
https://www.tfrrs.org/athletes/2801127/Southern_Maine/Jason_Johnson.html,m
https://www.tfrrs.org/athletes/3269959/Bates/Chris__Halsted.html,m
https://www.tfrrs.org/athletes/1692697/Southern_Maine/Evan_Davis.html,m
https://www.tfrrs.org/athletes/3252868/Tufts/Andrew__Osborne.html,m
https://www.tfrrs.org/athletes/3272306/Southern_Maine/Aaron_Paiton.html,m
https://www.tfrrs.org/athletes/3252871/Tufts/David_Sutherland.html,m
https://www.tfrrs.org/athletes/3267249/Tiffin/Andrea_Glenn.html,w
https://www.tfrrs.org/athletes/2216477/Lock_Haven/Lauren_Edelman.html,w
https://www.tfrrs.org/athletes/2752685/Lock_Haven/Justine_Stoltzfus.html,w
https://www.tfrrs.org/athletes/1747108/Northern_Iowa/Olimpia_Nowak.html,w
https://www.tfrrs.org/athletes/3271647/Lock_Haven/Courtney_Funk.html,w
https://www.tfrrs.org/athletes/1694683/Slippery_Rock/Kelly_Bruder.html,w
https://www.tfrrs.org/athletes/2721961/Morgan_State/Monae_Waller.html,w
https://www.tfrrs.org/athletes/1694703/Slippery_Rock/Julianna_Guido.html,w
https://www.tfrrs.org/athletes/2215354/Ashland/Cheryl_Bourne.html,w
https://www.tfrrs.org/athletes/2215353/Ashland/Kendra_Bassitt.html,w
https://www.tfrrs.org/athletes/3256961/California_PA/Khyalyani_Whitaker.html,w
https://www.tfrrs.org/athletes/2750575/Pittsburgh/Elizabeth_Kline.html,w
https://www.tfrrs.org/athletes/2748652/Slippery_Rock/Kim_Stitt.html,w
https://www.tfrrs.org/athletes/2746264/Wheeling_University/Samantha_Jendras.html,w
https://www.tfrrs.org/athletes/2783773/Pittsburgh/Natalie_Ryan.html,w
https://www.tfrrs.org/athletes/2756283/Noelle__Johnson.html,w
https://www.tfrrs.org/athletes/3254552/Morgan_State/Elan_Holston.html,w
https://www.tfrrs.org/athletes/1774598/Miami_OH/Michael__McCarty.html,m
https://www.tfrrs.org/athletes/1774600/Miami_OH/Matt_Rudin.html,m
https://www.tfrrs.org/athletes/2766440/Kent_State/Keith_Hurst.html,m
https://www.tfrrs.org/athletes/2211645/Hampton/Bennett_Taylor.html,m
https://www.tfrrs.org/athletes/3263223/Wheeling_University/Kyle_Davies.html,m
https://www.tfrrs.org/athletes/1281472/Ohio_State/Rob_Wade.html,m
https://www.tfrrs.org/athletes/1724183/Hampton/Damon__Dixon.html,m
https://www.tfrrs.org/athletes/3262006/Kyle_Miller.html,m
https://www.tfrrs.org/athletes/1755113/Kent_State/Michael_Schober.html,m
https://www.tfrrs.org/athletes/2766444/Kent_State/Dexter__Shreve.html,m
https://www.tfrrs.org/athletes/2748593/Slippery_Rock/Andrew_Greenslade.html,m
https://www.tfrrs.org/athletes/2741429/Tiffin/Logan__Garcia.html,m
https://www.tfrrs.org/athletes/3271018/Cory__Kunze.html,m
https://www.tfrrs.org/athletes/2751852/Ohio_State/Korbin_Smith.html,m
https://www.tfrrs.org/athletes/2752691/Lock_Haven/Chris_Ammann.html,m
https://www.tfrrs.org/athletes/2241632/Wheeling_University/Craig_Neiswanger.html,m
https://www.tfrrs.org/athletes/2705172/Lake_Erie/Isaac_Snyder.html,m
https://www.tfrrs.org/athletes/2245742/Walsh/Dan_Harsh.html,m
https://www.tfrrs.org/athletes/3262802/Miami_OH/Jordan__Goffena.html,m
https://www.tfrrs.org/athletes/3261008/Slippery_Rock/Hans_Lubich.html,m
https://www.tfrrs.org/athletes/2754544/New_Hampshire/Lana__Ciali.html,w
https://www.tfrrs.org/athletes/1692443/New_Hampshire/Megan__Donohue.html,w
https://www.tfrrs.org/athletes/3269912/Maine/Alexis_Maylor.html,w
https://www.tfrrs.org/athletes/2227398/Maine/Angela_Stakus.html,w
https://www.tfrrs.org/athletes/2753063/New_Hampshire/Anthony_Vorachak.html,m
https://www.tfrrs.org/athletes/3262059/New_Hampshire/Glen_Ruggerio.html,m
https://www.tfrrs.org/athletes/2950859/Maine/John_Bergstrom.html,m
