link,sex
https://www.tfrrs.org/athletes/3250008/So_Conn_St/Nick_Lebron.html,m
https://www.tfrrs.org/athletes/3755636/Connecticut/Ben_Waruch.html,m
https://www.tfrrs.org/athletes/2490617/Rhode_Island/Joseph_Sliwoski.html,m
https://www.tfrrs.org/athletes/3408550/Connecticut/Kyle_Rowbotham.html,m
https://www.tfrrs.org/athletes/3335226/Golden_West/Jaci_Powell.html,m
https://www.tfrrs.org/athletes/3780585/Cuesta/Lindsee_Handel.html,m
https://www.tfrrs.org/athletes/3149498/East_LA/Shawnta_Barnes.html,m
https://www.tfrrs.org/athletes/3780580/Cuesta/Jessica_Belingheri.html,m
https://www.tfrrs.org/athletes/3798485/San_Bernardino_Valley/Shanice_Stewart.html,m
https://www.tfrrs.org/athletes/3798240/Canyons/Rahnesha_Williams.html,m
https://www.tfrrs.org/athletes/3804282/Compton/Sharica__Pleasant.html,m
https://www.tfrrs.org/athletes/3791454/Santiago_Canyon/Eryka_Morrello.html,m
https://www.tfrrs.org/athletes/3333289/Mt_SAC/T'Keyah_Gray.html,m
https://www.tfrrs.org/athletes/3334876/Fullerton/Taylor_Frank.html,m
https://www.tfrrs.org/athletes/3338379/Canyons/Jacqueline_Keeley.html,m
https://www.tfrrs.org/athletes/3329771/Santiago_Canyon/Maranda_Queja.html,m
https://www.tfrrs.org/athletes/3793562/Cerritos/Angel_Sifuentes.html,m
https://www.tfrrs.org/athletes/3782919/Orange_Coast/Jessica_Aguilera.html,m
https://www.tfrrs.org/athletes/3792321/San_Diego_Mesa/Cortney_Wood.html,m
https://www.tfrrs.org/athletes/3632775/West_Los_Angeles/Aundrea_Yancy.html,m
https://www.tfrrs.org/athletes/3632773/West_Los_Angeles/Aysia_Smith.html,m
https://www.tfrrs.org/athletes/3806315/Cerritos/Tuki_Sauvao.html,m
https://www.tfrrs.org/athletes/3766956/Ventura/Melody_Axtell.html,m
https://www.tfrrs.org/athletes/3784519/Mt_SAC/Nicolette_Garcia.html,m
https://www.tfrrs.org/athletes/3338380/Canyons/Aspen__Morrison.html,m
https://www.tfrrs.org/athletes/3790016/Riverside/Aariana_Goshen.html,m
https://www.tfrrs.org/athletes/3146823/East_LA/Elizabeth_Bosch.html,m
https://www.tfrrs.org/athletes/3766969/Ventura/Layla_Ramirez.html,m
https://www.tfrrs.org/athletes/3339312/San_Diego_Mesa/Maurice_Strickland.html,m
https://www.tfrrs.org/athletes/3792243/Compton/Hassan_Ilyas.html,m
https://www.tfrrs.org/athletes/3326073/Saddleback/Clinton_Schooler.html,m
https://www.tfrrs.org/athletes/3784479/Mt_SAC/Tomek_Czerwinski.html,m
https://www.tfrrs.org/athletes/3481915/Compton/Dron_Williams.html,m
https://www.tfrrs.org/athletes/3766907/Ventura/Phillip__Hanley.html,m
https://www.tfrrs.org/athletes/3338441/Canyons/Cody_Cox.html,m
https://www.tfrrs.org/athletes/3792258/San_Diego_Mesa/Chris_Canseco.html,m
https://www.tfrrs.org/athletes/3339697/Compton/Mark_Sanchez.html,m
https://www.tfrrs.org/athletes/3317501/Riverside/Billy_Britt.html,m
https://www.tfrrs.org/athletes/3313665/Cuesta/Nathaniel_Hargitt.html,m
https://www.tfrrs.org/athletes/3776822/Riverside/Wesley_(Jordon)_Morris.html,m
https://www.tfrrs.org/athletes/3318237/Orange_Coast/Andrew_Cruikshank.html,m
https://www.tfrrs.org/athletes/3802527/Canyons/Anthony_Creswell.html,m
https://www.tfrrs.org/athletes/3333208/Mt_SAC/Marco_Cuevas.html,m
https://www.tfrrs.org/athletes/3790661/Saddleback/Aaron_Chancellor.html,m
https://www.tfrrs.org/athletes/3333466/Fullerton/Joshua_Stevens.html,m
https://www.tfrrs.org/athletes/3784515/Mt_SAC/Tristan_Wentworth.html,m
https://www.tfrrs.org/athletes/3784500/Mt_SAC/Kevin_Murphy.html,m
https://www.tfrrs.org/athletes/3360900/George_Fox/Alexis_Arnold.html,m
https://www.tfrrs.org/athletes/3278607/Whitworth/Janelle_LeMieux.html,m
https://www.tfrrs.org/athletes/3829959/George_Fox/Katie_Dyk.html,m
https://www.tfrrs.org/athletes/2856779/George_Fox/Alyssa_Turner.html,m
https://www.tfrrs.org/athletes/3785089/Willamette/Elisa_Ahern.html,m
https://www.tfrrs.org/athletes/3829958/George_Fox/Charity_Arn.html,m
